Alimento,Calorias,Hidratos,Proteinas,Grasas,Fibras
ACEDÃAS FRITAS,256,12,17,16,0,
ACEITE GIRASOL,899,0,0,100,0,
ACEITE MAIZ,898,0,0,100,0,
ACEITE OLIVA,899,0,0,100,0,
ACEITE SODA,899,0,0,100,0,
ACEITE UVA,899,0,0,100,0,
ACEITUNAS SALMUERA,103,0,1,11,4,
ACELGAS,13,1,2,0,6,
ACEROLAS,31,8,0,0,0,
AGUA MANANTIAL,0,0,0,0,0,
AGUACATE,223,2,4,22,3,
AJO,137,28,6,0,0,
ALBARICOQUE,28,7,1,0,2,
ALCACHOFAS,22,3,2,0,11,
ALMENDRAS,565,4,17,54,14,
ANCAS RANA,68,0,16,0,0,
ANCHOAS ENLATADAS,206,0,22,13,0,
ANGUILA,168,0,17,11,0,
ANGULAS,205,0,16,16,0,
ANISETE,297,2,0,0,0,
APIO,8,1,1,0,2,
ARENQUE AHUMADO,205,0,26,11,0,
ARROZ INTEGRAL,357,77,7,2,3,
ARROZ CON LECHE,80,13,3,2,0,
ARROZ PULIDO BLANCO,361,87,6,1,2,
ATÚN CONSERVA,289,0,23,22,0,
ATÚN FRESCO,242,0,22,16,0,
AVELLANAS,380,7,8,36,6,
AZÚCAR BLANCA,394,100,0,0,0,
AZÚCAR MORENA,386,96,0,0,0,
BACALAO FRESCO,76,0,17,1,0,
BACALAO SALAZÓN,138,0,32,1,0,
BACÓN,427,0,14,41,0,
BATATA,91,22,1,0,8,
BATIDO CHOCOLATE,366,77,6,6,0,
BERBERECHOS COCIDOS,48,0,11,0,0,
BERENJENAS,14,3,1,0,2,
BERROS,14,1,3,0,3,
BIGAROS COCIDOS,135,5,26,1,0,
BISCOTES TRIGO,366,73,9,4,4,
BOLLOS-PASTAS MEDIA,387,49,5,20,1,
BOMBONES MEDIA,458,66,5,21,0,
BRECA,74,1,15,1,0,
BRÉCOL,23,2,3,0,4,
BUTIFARRA,243,0,15,20,0,
CABALLA,223,0,19,16,0,
CABALLO CARNE,113,0,21,3,0,
CABRITO CARNE,161,0,20,8,0,
CACAHUETES TOSTADOS,570,9,24,49,8,
CACAO POLVO,357,11,20,24,38,
CAFÉ EXTRACTO POLVO,82,8,11,0,0,
CAFÉ INFUSIÓN,2,0,0,0,0,
CAFÉ INSTANTÁNEO,100,11,15,0,0,
CAFÉ TORREFACTO,183,2,13,13,66,
CALABACÍN,16,4,1,0,2,
CALABAZA,15,3,1,0,0,
CALAMAR,79,0,16,1,0,
CALLOS VÍSCERAS,60,0,9,2,0,
CAMARONES COCIDOS,117,0,24,2,0,
CANGREJO COCIDO,127,0,20,5,0,
CARACOL TERRESTRE,80,0,16,1,0,
CARDO,21,4,1,0,1,
CARNE CABALLO,113,0,21,3,0,
CARNE CABRITO,161,0,20,8,0,
CARNE CERDO GRASA,329,0,16,30,0,
CARNE CERDO MAGRA,147,0,21,7,0,
CARNE CONEJO,124,0,22,4,0,
CARNE CORDERO CHULETA,386,0,15,36,0,
CARNE CORDERO MAGRA,122,0,20,3,0,
CARNE CORDERO PALETILLA,314,0,16,28,0,
CARNE CORDERO PIERNA,240,0,18,19,0,
CARNE OVEJA,235,0,18,17,0,
CARNE TERNERA MAGRA,109,0,21,3,0,
CARNE VACA CHULETA,290,0,16,25,0,
CARNE VACA FILETE,197,0,19,14,0,
CARNE VACA GUISAR,176,0,20,11,0,
CARNE VACA MAGRA,123,0,20,5,0,
CARNE VACA SOLOMILLO,272,0,17,23,0,
CASTAÑAS,170,37,2,3,7,
CAVIAR RUSO,262,0,26,16,0,
CEBADA,360,84,8,2,6,
CEBOLLA,23,5,1,0,1,
CENTOLLO,127,0,20,5,0,
CEREALES CORNFLAKES,368,85,9,2,11,
CEREALES MUESLI,368,66,13,8,7,
CEREALES WEETABIX,340,70,11,3,13,
CEREZAS,47,12,0,0,2,
CERVEZA LAGER,29,2,0,0,0,
CERVEZA NEGRA,28,3,0,0,0,
CHAMPÁN,84,3,0,0,0,
CHAMPIÑÓN,13,0,2,1,2,
CHANQUETES,79,2,11,3,0,
CHEESE BURGUER – McDONALD,307,30,15,14,0,
CHEETOS QUESO GOLOSINA,158,15,2,10,0,
CHICHARRO,127,1,16,7,0,
CHICHARRONES,540,1,20,51,0,
CHICLE,310,95,0,0,0,
CHIRIMOYA,178,0,19,11,0,
COL,20,4,2,0,3,
COLES BRUSELAS,26,3,4,0,4,
COLIFLOR,13,2,2,0,2,
CONEJO,124,0,22,4,0,
CONGUITOS,153,13,5,9,0,
CORAZÓN CORDERO,119,0,17,6,0,
CORAZÓN VACUNO,108,0,19,4,0,
CORDERO CARNE MAGRA,122,0,20,3,0,
CORDERO PALETILLA,314,0,16,28,0,
CORDERO PIERNA,240,0,18,19,0,
CORNFLAKES,368,85,9,2,0, 
COÑAC,232,0,0,0,0, 
CREMA DE CHAMPIÑÓN ,62,5,1,4,0,
CREMA LECHE CHANTILLY,331,10,2,31,0,
CREMA LECHE PASTERIZADA,316,2,2,33,0,
CREMA PASTELERA,168,24,6,6,0,
CROISSANT,47,6,40,2,0, 
CRUNCH CHOCOLATE NESTLE,160,19,2,8,0, 
CUAJADA,90,6,5,5,0,
CUBITOS SOPA,154,8,23,3,0,
DÁTILES SECOS DESHUESADOS,248,64,2,0,9,
DIET-COKE,1,0,0,0,0,
EMPERADOR,127,0,19,4,0,
ENDIBIAS,11,1,2,0,0, 
ESPÁRRAGOS COCIDOS,18,1,3,0,2,
ESPÁRRAGOS ENLATADOS,14,1,2,0,0, 
ESPINACAS,15,1,2,0,2,
ESPINACAS COCIDAS,30,1,5,0,6,
EXTRACTO CARNE,174,3,38,1,0,
FAISÁN,160,0,24,6,0,
FANECA,74,1,15,1,0,
FILETE VACA,197,0,19,14,0,
FLAN DE HUEVO,132,22,5,2,0,
FOIE- GRAS,462,0,14,46,0,
FRAMBUESAS,25,6,1,0,7,
FRESAS,26,6,1,0,2,
GALLETAS MANTEQUILLA,435,75,8,11,3,
GALLETAS MEDIA,436,74,7,14,5,
GALLETAS SALADAS,448,76,9,12,3,
GALLO,81,0,17,1,0,
GAMBAS COCIDAS,107,0,23,2,0, 
GARBANZOS,314,49,20,3,0, 
GATORADE,39,10,0,0,0,
GERMEN TRIGO,301,24,27,9,25,
GINEBRA,222,0,0,0,0,
GOFIO MILLO,377,83,6,5,0,
GOFIO TRIGO,371,82,11,2,0,
GRANADA,75,17,1,1,3,
GRELOS,11,0,3,0,4,
