"0","Alimento","Calorias","Hidratos","Proteinas","Grasas","Fibras"
"1","ACEDÃAS FRITAS","256","12","17","16","0"
"2","ACEITE GIRASOL","899","0","0","100","0"
"3","ACEITE MAIZ","898","0","0","100","0"
"4","ACEITE OLIVA","899","0","0","100","0"
"5","ACEITE SODA","899","0","0","100","0"
"6","ACEITE UVA","899","0","0","100","0"
"7","ACEITUNAS SALMUERA","103","0","1","11","4"
"8","ACELGAS","13","1","2","0","6"
"9","ACEROLAS","31","8","0","0","0"
"10","AGUA MANANTIAL","0","0","0","0","0"
"11","AGUACATE","223","2","4","22","3"
"12","AJO","137","28","6","0","0"
"13","ALBARICOQUE","28","7","1","0","2"
"14","ALCACHOFAS","22","3","2","0","11"
"15","ALMENDRAS","565","4","17","54","14"
"16","ANCAS RANA","68","0","16","0","0"
"17","ANCHOAS ENLATADAS","206","0","22","13","0"
"18","ANGUILA","168","0","17","11","0"
"19","ANGULAS","205","0","16","16","0"
"20","ANISETE","297","2","0","0","0"
"21","APIO","8","1","1","0","2"
"22","ARENQUE AHUMADO","205","0","26","11","0"
"23","ARROZ INTEGRAL","357","77","7","2","3"
"24","ARROZ CON LECHE","80","13","3","2","0"
"25","ARROZ PULIDO BLANCO","361","87","6","1","2"
"26","ATÚN CONSERVA","289","0","23","22","0"
"27","ATÚN FRESCO","242","0","22","16","0"
"28","AVELLANAS","380","7","8","36","6"
"29","AZÚCAR BLANCA","394","100","0","0","0"
"30","AZÚCAR MORENA","386","96","0","0","0"
"31","BACALAO FRESCO","76","0","17","1","0"
"32","BACALAO SALAZÓN","138","0","32","1","0"
"33","BACÓN","427","0","14","41","0"
"34","BATATA","91","22","1","0","8"
"35","BATIDO CHOCOLATE","366","77","6","6","0"
"36","BERBERECHOS COCIDOS","48","0","11","0","0"
"37","BERENJENAS","14","3","1","0","2"
"38","BERROS","14","1","3","0","3"
"39","BIGAROS COCIDOS","135","5","26","1","0"
"40","BISCOTES TRIGO","366","73","9","4","4"
"41","BOLLOS-PASTAS MEDIA","387","49","5","20","1"
"42","BOMBONES MEDIA","458","66","5","21","0"
"43","BRECA","74","1","15","1","0"
"44","BRÉCOL","23","2","3","0","4"
"45","BUTIFARRA","243","0","15","20","0"
"46","CABALLA","223","0","19","16","0"
"47","CABALLO CARNE","113","0","21","3","0"
"48","CABRITO CARNE","161","0","20","8","0"
"49","CACAHUETES TOSTADOS","570","9","24","49","8"
"50","CACAO POLVO","357","11","20","24","38"
"51","CAFÉ EXTRACTO POLVO","82","8","11","0","0"
"52","CAFÉ INFUSIÓN","2","0","0","0","0"
"53","CAFÉ INSTANTÁNEO","100","11","15","0","0"
"54","CAFÉ TORREFACTO","183","2","13","13","66"
"55","CALABACÍN","16","4","1","0","2"
"56","CALABAZA","15","3","1","0","0"
"57","CALAMAR","79","0","16","1","0"
"58","CALLOS VÍSCERAS","60","0","9","2","0"
"59","CAMARONES COCIDOS","117","0","24","2","0"
"60","CANGREJO COCIDO","127","0","20","5","0"
"61","CARACOL TERRESTRE","80","0","16","1","0"
"62","CARDO","21","4","1","0","1"
"63","CARNE CABALLO","113","0","21","3","0"
"64","CARNE CABRITO","161","0","20","8","0"
"65","CARNE CERDO GRASA","329","0","16","30","0"
"66","CARNE CERDO MAGRA","147","0","21","7","0"
"67","CARNE CONEJO","124","0","22","4","0"
"68","CARNE CORDERO CHULETA","386","0","15","36","0"
"69","CARNE CORDERO MAGRA","122","0","20","3","0"
"70","CARNE CORDERO PALETILLA","314","0","16","28","0"
"71","CARNE CORDERO PIERNA","240","0","18","19","0"
"72","CARNE OVEJA","235","0","18","17","0"
"73","CARNE TERNERA MAGRA","109","0","21","3","0"
"74","CARNE VACA CHULETA","290","0","16","25","0"
"75","CARNE VACA FILETE","197","0","19","14","0"
"76","CARNE VACA GUISAR","176","0","20","11","0"
"77","CARNE VACA MAGRA","123","0","20","5","0"
"78","CARNE VACA SOLOMILLO","272","0","17","23","0"
"79","CASTAÑAS","170","37","2","3","7"
"80","CAVIAR RUSO","262","0","26","16","0"
"81","CEBADA","360","84","8","2","6"
"82","CEBOLLA","23","5","1","0","1"
"83","CENTOLLO","127","0","20","5","0"
"84","CEREALES CORNFLAKES","368","85","9","2","11"
"85","CEREALES MUESLI","368","66","13","8","7"
"86","CEREALES WEETABIX","340","70","11","3","13"
"87","CEREZAS","47","12","0","0","2"
